ID,split,source,source_text,gpt_msa_detox,gpt_gulf_detox,gpt_levantine_detox,gpt_egyptian_detox,gemini_msa_detox,gemini_gulf_detox,gemini_levantine_detox,gemini_egyptian_detox
890,train,jhsc,المجرم بوتين والمجرم نتنياهو يلتقيان ويناقشان الوضع في سوريا ارض استباحها الاعداء والممانعه مرتاحه لهذا الوضع,"بوتين ونتنياهو يلتقيان ويناقشان الوضع في سوريا، وهي أرض استباحتها أطراف عديدة.","بوتين ونتنياهو يلتقون ويناقشون الوضع في سوريا، ارض صارت مستباحة من الاعداء، والممانعة مبسوطة على هالوضع.","بوتين ونتنياهو التقوا وعم يناقشوا الوضع بسوريا، ارض صارت مستباحة من الاعداء، والممانعة مرتاحة لهالوضع.","بوتين ونتنياهو اتقابلوا وبيتكلموا عن الوضع في سوريا، ارض بقت مستباحة من الاعداء، والممانعة مبسوطة على الوضع ده.","بوتين ونتنياهو يلتقيان لمناقشة الوضع في سوريا، الأرض التي تتعرض لانتهاكات من أطراف معادية، بينما تبدو الممانعة غير مبالية بهذا الوضع.","الرئيس الروسي بوتين ورئيس الوزراء الإسرائيلي نتنياهو، اللي لهم يد في اللي صاير بسوريا، يجتمعون ويناقشون الوضع في أرض استباحها الأعداء، والممانعة شكلها مرتاحة لهالوضع.","بوتين ونتنياهو، اللي بنشوف منهم تصرفات بتضر المنطقة، بيلتقوا وبناقشوا الوضع بسوريا، أرض صارت مستباحة للأعداء، والممانعة مرتاحة لهاد الوضع.","في لقاء بيثير قلق كتير، الرئيس الروسي بوتين ورئيس وزراء إسرائيل نتنياهو بيتقابلوا وبيناقشوا الوضع في سوريا، اللي للأسف أرضها بقت مستباحة من أطراف كتير. والغريب إن جماعات الممانعة اللي المفروض إنها بتدافع عن الأرض، ساكتة أو راضية باللي بيحصل ده."
891,train,jhsc,قالوامسكين من لايعرف الانجليزيه قد يواجه صعوبه في فهم كلام الناس واقول مسكين من لا يعرف العربيه لا شك سيواجه صعوبه في فهم كلام رب الناس,"قالوا مسكين من لا يعرف الإنجليزية لأنه قد يواجه صعوبة في فهم كلام الناس، وأنا أقول مسكين من لا يعرف العربية لأنه سيواجه صعوبة في فهم كلام رب الناس.","يقولون المسكين اللي ما يعرف انجليزي يمكن يتعب يفهم كلام الناس، وأنا أقول المسكين اللي ما يعرف عربي أكيد بيتعب يفهم كلام رب الناس.","بحكوا المسكين اللي ما بعرف انجليزي ممكن يصعب عليه يفهم حكي الناس، وأنا بقول المسكين اللي ما بعرف عربي اكيد رح يصعب عليه يفهم كلام رب الناس.","بيقولوا المسكين اللي مش عارف انجليزي ممكن يلاقي صعوبة يفهم كلام الناس، وأنا بقول المسكين اللي مش عارف عربي اكيد هيلاقي صعوبة يفهم كلام رب الناس.","قالوا: مسكينٌ من لا يعرف الإنجليزية، فقد يواجه صعوبةً في فهم كلام الناس. وأقول: مسكينٌ من لا يعرف العربية، فلا شك سيواجه صعوبةً في فهم كلام رب الناس.","قالوا: مسكين اللي ما يعرف إنجليزي، يمكن يواجه صعوبة في فهم كلام الناس. وأنا أقول: مسكين اللي ما يعرف عربي، هذا اللي أكيد بيتعب في فهم كلام رب العالمين.","قالوا مسكين اللي ما بيعرف إنجليزي، ممكن يلاقي صعوبة ليفهم حكي الناس. وأنا بقول: المسكين الحقيقي هو اللي ما بيعرف عربي، أكيد رح يتغلب ليفهم كلام رب الناس.","قالوا مسكين اللي ميعرفش إنجليزي، ممكن يلاقي صعوبة في فهم كلام الناس. وأنا أقول، مسكين بجد اللي ميعرفش عربي، ده أكيد هيلاقي صعوبة في فهم كلام رب الناس."
892,train,jhsc,يعني احلام و جوزها ب فرنسا و انا قاعده بشرب ليمون قدام الصوبا ليش ليش,"يعني أحلام وزوجها في فرنسا وأنا جالس أشرب ليمون قدام الصوبة، لماذا؟","يعني احلام وزوجها في فرنسا وانا هنا جالسة اشرب ليمون قدام الدفاية، ليش كذا؟","يعني احلام وجوزها بفرنسا وانا قاعدة اشرب ليمون قدام الصوبة، ليش هيك؟","يعني احلام وجوزها في فرنسا وانا قاعدة بشرب ليمون قدام الدفاية، ليه كده؟","أحلام وزوجها في فرنسا، بينما أحتسي أنا عصير الليمون أمام المدفأة. لماذا هذا التباين؟","يعني أحلام وزوجها بفرنسا، وأنا هنا جالسة أشرب ليمون قدام الدفاية. ليش كذا بس؟","يعني أحلام وجوزها بفرنسا، وأنا قاعدة بشرب ليمون قدام الصوبة. ليش هيك يا جماعة؟","يعني أحلام وجوزها في فرنسا وأنا قاعدة باشرب لمون قدام الصوبة، ليه ليه؟"
893,train,jhsc,الرقه مقتل عنصرين من قطعان المنظومه الاجراميه واصابه اخرين جراء هجوم شنه مجهولون استهدف سياره عسكريه في محيط بلده معدان بريف الرقه الشرقي الجنوبي,مقتل عنصرين من قوات النظام وإصابة آخرين جراء هجوم استهدف سيارة عسكرية في محيط بلدة معدان بريف الرقة الشرقي الجنوبي.,الرقة: مقتل عنصرين من قوات المنظومة الإجرامية وإصابة آخرين جراء هجوم نفذه مجهولون استهدف سيارة عسكرية بمحيط بلدة معدان بريف الرقة الشرقي الجنوبي.,الرقة: مقتل عنصرين من قوات المنظومة الإجرامية وإصابة غيرهم بعد هجوم نفذه مجهولين استهدف سيارة عسكرية بمحيط بلدة معدان بريف الرقة الشرقي الجنوبي.,الرقة: مقتل عنصرين من قوات المنظومة الإجرامية وإصابة آخرين نتيجة هجوم نفذه مجهولين استهدف عربية عسكرية في محيط بلدة معدان بريّف الرقة الشرقي الجنوبي.,الرقة: مقتل عنصرين من أفراد المنظومة الإجرامية وإصابة آخرين جراء هجوم شنه مجهولون استهدف سيارة عسكرية في محيط بلدة معدان بريف الرقة الشرقي الجنوبي.,"الرقة: مقتل عنصرين من المنظومة الإجرامية وإصابة آخرين، إثر هجوم شنه مجهولون استهدف سيارة عسكرية في محيط بلدة معدان بريف الرقة الشرقي الجنوبي.","بالرقة، مقتل عنصرين من الجهة اللي بنشوفها مسؤولة عن الأعمال الإجرامية، وإصابة غيرهم، إثر هجوم شنه مجهولون استهدف سيارة عسكرية بمحيط بلدة معدان بريف الرقة الشرقي الجنوبي.","الرقة: مقتل عنصرين من الجهة اللي بنعتبرها مسؤولة عن الأوضاع اللي فيها تجاوزات، وإصابة تانيين، ده حصل بعد هجوم شنه مجهولين استهدف عربية عسكرية في محيط بلدة معدان بريف الرقة الشرقي الجنوبي."
894,train,jhsc,هلا ابصر مصر تهاجم داعش عسكريا او لا,هلا أبصر إذا كانت مصر ستهاجم داعش عسكرياً أم لا.,هل بتشوفون مصر ناوية تهاجم داعش عسكرياً ولا لا؟,بتتوقعوا مصر تهاجم داعش عسكرياً ولا لأ؟,يا ترى مصر ناوية تهاجم داعش عسكرياً ولا لأ؟,هل سنشهد قيام مصر بشن هجوم عسكري ضد تنظيم داعش؟,نشوف الحين إذا مصر بتهاجم داعش عسكريًا ولا لا.,هلا بنشوف إذا مصر رح تهاجم داعش عسكرياً ولا لأ.,هنشوف بقى مصر هتهاجم داعش عسكريًا ولا لأ.
895,train,jhsc,يا ويلكوا يا داعش مو من الاردن من رب العالمين,"يا ويلكم يا داعش، الحساب ليس من الأردن بل من رب العالمين.","حسابكم يا داعش مو بس من الاردن، حسابكم عند رب العالمين","يا داعش، مش بس الاردن بحاسبكم، حسابكم عند رب العالمين","يا داعش، حسابكم مش بس مع الاردن، حسابكم عند ربنا","ويل لكم يا تنظيم داعش، ليس من الأردن بل من رب العالمين.","يا داعش، حسابكم الحقيقي عند رب العالمين، مو بس من أي دولة.","حسابكم عند رب العالمين يا داعش، مش من الأردن.","يا ويلكوا يا داعش، مش من الأردن، ده من رب العالمين."
896,train,jhsc,احد يريد يسوي دايت وميعرف شلون الحل عدي اكعدك عالغدا ويا هذا كرايبي واضمنلك تعرف الاكل وتكوم تسمع كل عمليات الهظم والسحب والبلع,"إذا أحد يريد أن يعمل حمية غذائية ولا يعرف كيف، تعال أجلسك على الغداء مع أقاربي وستتعلم كيف تقلل الأكل.","واحد ناوي يسوي دايت ومهو عارف من وين يبدأ؟ تعال اتغدا مع قرايبي، وأضمن لك بتتعلم عن الأكل وبتمسك كل تفاصيل الهضم والبلع كأنك حاضر درس كامل.","حدا بده يعمل دايت ومش عارف كيف يبلش؟ تعال تغدا مع قرايبي، وبضمنلك تتعلم كل شي عن الأكل وبتسمع كل تفاصيل الهضم والبلع كإنك بحصة كاملة.","حد عايز يعمل دايت ومش عارف يبتدي ازاي؟ تعالى اتغدى مع قرايبي، وبضمن لك هتتعلم عن الأكل وهتسمع كل تفاصيل الهضم والبلع كإنك في درس كامل.","إذا كان أحدكم يرغب في اتباع حمية غذائية ولا يعرف كيف يبدأ، فلدي الحل. سأدعوك لتناول الغداء مع أحد أقاربي، وأضمن لك أنك ستتعرف على الطعام بطريقة تجعلك تسمع كل مراحل الهضم والامتصاص والبلع.","أحد يبي يسوي دايت ومو عارف كيف؟ الحل عندي! أجلسك على الغداء مع واحد من قرايبي، وأضمن لك بعدها بتعرف الأكل على أصوله، وبتصير تسمع كل عمليات الهضم والبلع والسحب، لدرجة إنك بتفهم وشلون الجسم يشتغل مع الأكل.","إذا حدا بده يعمل دايت ومش عارف كيف، الحل عندي. بقعدك تتغدى مع قريبي هاد، وبضمنلك رح تعرف الأكل، ورح تصير تركز على كل تفاصيله بطريقة تخليك تشبع من مجرد المشاهدة.","لو حد عايز يعمل دايت ومش عارف يبدأ إزاي، الحل عندي. أقعدك على الغدا مع واحد قريبي، وأضمنلك إن نفسك هتتسد من الأكل وهتلاقي نفسك بتسمع كل تفصيلة لدرجة إنك هتزهق منه."
897,train,jhsc,والله ان لعبتكم مكسوفه بدكم اطلعو ابتسام نومني الله ينعل قله الضمير شو سوت احسن منها كنزه الشرموطه لانها بصل تعرض افخادها لمين,"والله إن أداءكم ضعيف، وكنزة أفضل منها لأنها على الأقل تقدم ما تملكه للجمهور.",صراحة لعبتكم مكشوفة. تبون تطلعون ابتسام نومني؟ هذي قلة ضمير. وش سوت أحسن منها كنزة؟ ليش كل التركيز على اللبس والعرض؟ لمين؟,والله لعبتكم مكشوفة. بدكم تطلعوا ابتسام نومني؟ هاي قلة ضمير. شو عملِت أحسن منها كنزة؟ ليش كل التركيز على اللبس والعرض؟ لمين؟,بصراحة لعبتكم مكشوفة. عايزين تطلعوا ابتسام نومني؟ دي قلة ضمير. عملت إيه أحسن منها كنزة؟ ليه كل التركيز على اللبس والعرض؟ لمين؟,"إن هذا التلاعب بات مكشوفاً، وهدفكم هو ترشيح ابتسام. إن ما قامت به يدل على غياب الضمير. كنزة أفضل منها، حتى وإن كانت تصرفاتها علنية ومثيرة للجدل.","الوضع صار مكشوف للكل، وواضح إنكم ناويين تطلعون ابتسام نومنيه. وين الضمير في هالقرارات؟ هل صارت كنزه أفضل منها بس عشان أسلوبها الملفت أو طريقة عرضها لنفسها؟","والله لعبتكم صارت مكشوفة وواضحة، هدفكم الواضح إنكم تطلعوا ابتسام نومنيه. عن جد قلة ضمير، شو عملت ابتسام لتستاهل كل هالشي؟ يعني كنزه صارت أحسن منها؟ عشان أسلوبها بالظهور اللي بتفضلوه؟","بصراحة كده، اللعبة بتاعتكم بقت مكشوفة أوي. واضح إنكم عايزين تطلعوا ابتسام نوميني. فين الضمير في اللي بتعملوه ده؟ هي عملت إيه عشان يحصل معاها كده؟ هو عشان كنزه بتتصرف بطريقة معينة أو بتلفت الانتباه بحاجات معينة، تبقى أحسن منها؟"
898,train,jhsc,في اوروبا تقترب من الطيور و الحمام و الكلاب و القطط في الشارع ما,في أوروبا تقترب من الطيور والحمام والكلاب والقطط في الشارع بسهولة.,"في اوروبا تقرب من الطيور والحمام والكلاب والقطط بالشارع ولا أحد يضايقك، بس عندنا إذا سويت نفس الشي يتحول الموضوع لمشكلة وكأنك مسوي جريمة. متى نتعامل مع الحيوانات باحترام ونوقف التصرفات المزعجة؟","بأوروبا بتقرب من الطيور والحمام والكلاب والقطط بالشارع وما حدا بيتعرضلك، عنا لو عملت هيك بتصير قصة وكأنك عامل مصيبة. امتى بدنا نتعلم نحترم الحيوانات ونوقف التصرفات المزعجة؟","في أوروبا تقرب من العصافير والحمام والكلاب والقطط في الشارع ومحدش يضايقك، عندنا لو عملت كده تبقى مصيبة وكأنك عامل جريمة. امتى هنتعامل مع الحيوانات باحترام ونبطل التصرفات المزعجة؟","في أوروبا، يقترب الناس من الطيور والحمام والكلاب والقطط في الشارع.","في أوروبا، تلاحظ الناس يقربون من الطيور والحمام والكلاب والقطط اللي بالشارع، وهذا شيء عادي عندهم.","بأوروبا بتقرب من الطيور والحمام والكلاب والقطط بالشارع، ما...","في أوروبا بتقرب من الطيور والحمام والكلاب والقطط في الشارع عادي، لكن للأسف التعامل مع البشر مش بنفس السهولة دي."
899,train,jhsc,النوم سلطان وحق ربي اوكي اليوم اعترفت,"النوم سلطان، واليوم اعترفت بذلك.","النوم سلطان، وحق ربي اليوم اعترفت","النوم سلطان، ووالله اليوم اعترفت","النوم سلطان، وبحق ربنا النهارده اعترفت","النوم سلطان، وقد اعترفت بذلك اليوم.","النوم سلطان، وفعلاً اليوم أقر وأعترف بهالشي.","النوم سلطان، والله أوكي اليوم اعترفت.","النوم سلطان، وحق ربي أنا خلاص النهاردة اعترفت."
900,train,jhsc,اكثر كلمه بكرهها بالحياه مؤسسيه مو لاني همجي بس لانه كثير حضرات ماسكين المؤسسيه من ذيلها اه والله وك مش قد الاشي العب عقدك,"أكثر كلمة أكرهها في الحياة هي ""المؤسسية""، ليس لأنني ضدها، بل لأن كثيرين يرفعون شعارها دون أن يطبقوها.","اكثر كلمة ما احبها بالحياة كلمة مؤسسية، مو لاني فوضوي، بس لان كثير ناس ماسكين موضوع المؤسسية بطريقة غلط، والله، وانتو مو قد الشي. عالجوا مشاكلكم بدل ما تتغنون فيها.","اكثر كلمة بكرهها بالحياة كلمة مؤسسية، مش لاني فوضوي، بس لانه في كتير ناس ماسكين قصة المؤسسية بطريقة غلط، والله، وانتو مش قد الاشي. حلوا عقدكم بدل الشعارات.","اكتر كلمة بكرهها في الحياة كلمة مؤسسية، مش عشان انا فوضوي، بس عشان ناس كتير ماسكين حكاية المؤسسية غلط، والله، وانتو مش قد الموضوع. حلوا مشاكلكم بدل الشعارات.","إن كلمة ""مؤسسية"" تثير في نفسي استياءً عميقًا، وليس مرد ذلك إلى رفضٍ للمبادئ التنظيمية، بل لأن العديد من الأطراف تتعامل مع المفهوم المؤسسي بسطحية أو تسيء تطبيقه، وهم في الواقع ليسوا على قدر المسؤولية الملقاة على عاتقهم.","من أكثر الكلمات اللي ما أطيقها في الحياة هي ""مؤسسية"". مو لأني همجي، بس لأن فيه ناس كثير ماسكين المؤسسية من طرفها، وما يطبقونها صح. والله صدق، اللي مو كفؤ لها المفروض ما يتولى أمرها.","من أكثر الكلمات اللي بتستفزني بحياتنا كلمة ""مؤسسية"". مش لاني ضد المفهوم أو مبادئه، بس لأنه للأسف في كثير حضرات ماسكين المؤسسية من ذيلها. اه والله، وللأسف مش قدها. يا ريت كل واحد يركز على اللي بيفهم فيه وبيقدر يعمله صح.","من أكتر الكلمات اللي بتضايقني في حياتي هي كلمة ""مؤسسية"". مش عشان أنا ضد النظام أو التطور، لكن للأسف، في ناس كتير بتتعامل مع المؤسسية بطريقة غلط أو بتسيء فهمها وتطبيقها. لو مش قد المسؤولية دي، الأفضل إنهم يعيدوا النظر في طريقة شغلهم أو يسيبوا المكان للي يقدر."
901,train,jhsc,غصن ذي ماعجبتها قاال شين مسوي مسكين,غصن إذا ما عجبها الأمر قالت: ماذا فعل المسكين؟,غصن إذا ما عجبها شي قالت عنه سيئ وتتصنع دور المظلومة,غصن إذا ما عجبها اشي بتقول عنه سيئ وبتتظاهر إنها مظلومة,غصن لو حاجة ما عجبتها تقول عليها وحشة وتعمل فيها المظلومة,"الشخص الذي لم يرق له الأمر، أدلى بتصريحات سلبية، ثم عمد إلى إظهار نفسه بمظهر الضحية.","اللي ما أعجبها الوضع، تكلمت بكلام غير لائق، والحين قاعدة تسوي نفسها مسكينة.","غصن اللي ما عجبه الوضع، حكى كلام مش لائق، وهلأ عم بيحاول يستعطف الناس.","غصن دي لما معجبتهاش حاجة، راح قال كلام مش لطيف، ودلوقتي عامل نفسه غلبان."
902,test,jhsc,مجموعه كلمات لشيخنا عن تدبر القران مستله من دروسه العلميه جمعها الشيخ ابراهيم السكران,مجموعة كلمات لشيخنا عن تدبر القرآن مستلة من دروسه العلمية جمعها الشيخ إبراهيم السكران.,"مجموعة كلمات لشيخنا عن تدبر القرآن مأخوذة من دروسه العلمية، جمعها الشيخ إبراهيم السكران.","مجموعة كلمات لشيخنا عن تدبر القرآن مأخوذة من دروسه العلمية، جمعها الشيخ إبراهيم السكران.","مجموعة كلمات لشيخنا عن تدبر القرآن مأخوذة من دروسه العلمية، جمعها الشيخ إبراهيم السكران.","مجموعة كلمات لشيخنا عن تدبر القرآن مستلة من دروسه العلمية، جمعها الشيخ إبراهيم السكران.","هذي مقتطفات لشيخنا عن تدبر القرآن، مأخوذة من دروسه العلمية، واللي جمعها الشيخ إبراهيم السكران.","مقتطفات قيمة لشيخنا عن تدبر القرآن، مستخلصة من دروسه العلمية، جمعها الشيخ إبراهيم السكران.","مجموعة كلمات لشيخنا عن تدبر القرآن، مستخلصة من دروسه العلمية، جمعها الشيخ إبراهيم السكران."
903,train,jhsc,حاس انه بسوي دقه بشوف منو يتطن عشان يودونه ورا الشمس,أشعر أنني إذا قمت بأي حركة سأرى من سيعترض عليها.,حاس انه بيسوي سالفة وبشوف مين بيتطمن له عشان يودونه ورا الشمس,حاسس انه رح يعمل قصة وبدي اشوف مين بتطمنله عشان يودّوه ورا الشمس,حاسس إنه هيعمل قُصة وهشوف مين هيتطمن له عشان يودّوه ورا الشمس,"أشعر بأنني سأقدم على خطوة قد تثير الجدل، وسأراقب من سيتأثر بها سلباً، مما قد يعرضهم للمساءلة أو الإقصاء.","حاس إني بسوي شي معين، وبشوف مين اللي بيتحسس أو بيعترض عليه، عشان يعرفون إن فيه حدود لكل شي.","حاس إنه عم بيعمل دقة، وبشوف مين رح يتطن عشان يواجه العواقب اللي بتستاهلها أفعاله.","حاسس إني هعمل حركة معينة، وهشوف مين اللي هيتضايق أو هيعترض، عشان يتحاسبوا على أفعالهم."
904,train,jhsc,مقتل العميد عديم الشرف محمد صقر احمد من مرتبات الفرقه الرابعه قتل بريف حلب,"مقتل العميد محمد صقر أحمد من مرتبات الفرقة الرابعة، قُتل في ريف حلب.","مقتل العميد محمد صقر احمد من مرتبات الفرقة الرابعة قُتل بريف حلب، وهذا خبر يهمنا ونحمّل مسؤوليته للجهة المعنية.","مقتل العميد محمد صقر احمد من مرتبات الفرقة الرابعة انقتل بريف حلب، وبنحمّل الجهة المعنية كامل المسؤولية.","مقتل العميد محمد صقر احمد من قوة الفرقة الرابعة اتقتل في ريف حلب، وبنحمّل الجهة المعنية المسؤولية كاملة.","مقتل العميد محمد صقر أحمد، من مرتبات الفرقة الرابعة، في ريف حلب.","مقتل العميد محمد صقر أحمد، اللي كان من ضباط الفرقة الرابعة، وهو شخصية عليها كلام كثير بخصوص ممارساتها، في ريف حلب.","مقتل العميد محمد صقر احمد، الشخصية اللي عليها كلام كتير، واللي بيشتغل بالفرقة الرابعة، بريف حلب.","وصلنا خبر مقتل العميد محمد صقر أحمد، اللي كان من الفرقة الرابعة ومعروف بمواقفه اللي عليها علامات استفهام كتير، اتقتل في ريف حلب."
905,train,jhsc,لو يدخل علي المدبر وانا قاعده بالمكتب ومشغله اغاني وبشرب نسكافيه وبكتب مذكراتي شو حيكون تصرفه,"لو دخل عليّ المدير وأنا جالسة في المكتب أستمع للأغاني وأشرب نسكافيه وأكتب مذكراتي، ماذا سيكون تصرفه؟","لو دخل علي المدير وانا جالسه بالمكتب مشغله اغاني واشرب نسكافيه واكتب مذكرتي، وش تتوقعون بيكون رده؟","لو يفوت علي المدير وانا قاعده بالمكتب مشغله اغاني وباشرب نسكافيه وبكتب مذكرتي، شو بتتوقعوا يكون تصرفه؟","لو المدير دخل عليا وانا قاعدة في المكتب مشغلة أغاني وباشرب نسكافيه وبكتب مذكرتي، تتوقعوا رد فعله هيبقى إيه؟","لو يدخل عليّ المدبر وأنا أجلس في المكتب وأشغل الموسيقى وأشرب النسكافيه وأكتب مذكراتي، ماذا سيكون تصرفه؟","لو دخل علي المدير وأنا قاعدة بالمكتب ومشغلة أغاني، وأشرب نسكافيه، وأكتب مذكراتي، وش بيكون تصرفه؟","لو يدخل عليّ المدبر وأنا قاعدة بالمكتب ومشغّلة أغاني وبشرب نسكافيه وبكتب مذكراتي، شو حيكون تصرفه؟","لو المدير دخل عليا وأنا قاعدة في المكتب ومشغلة أغاني وبشرب نسكافيه وبكتب مذكراتي، تفتكروا هيكون تصرفه إيه؟"
906,train,jhsc,في اشياء جديده راح تشوفيها بخصوص هاي الاشياء واشساء صانيه من جروب شارع الاردن,في أشياء جديدة راح تشوفيها بخصوص هذه الأمور وأشياء ثانية من جروب شارع الأردن.,"في شغلات جديدة بتشوفينها بخصوص هالموضوع، وفي أمور ثانية جايه من قروب شارع الأردن.","في شغلات جديدة رح تشوفيها بخصوص هالموضوع، وفي أمور ثانية جاية من جروب شارع الأردن.","في حاجات جديدة هتشوفيها بخصوص الموضوع ده، وفي كمان حاجات تانية جاية من جروب شارع الأردن.","ستشهدون مستجدات وأمورًا أخرى تتعلق بهذه القضايا، مقدمة من مجموعة شارع الأردن.","فيه أشياء جديدة بتشوفينها بخصوص هالمواضيع، وأمور ثانية بعد، وكلها من قروب شارع الأردن.","في أشياء جديدة راح تشوفيها بخصوص هاي الأمور، وأشياء ثانية من جروب شارع الأردن.",فيه حاجات جديدة هتشوفيها بخصوص الحاجات دي وحاجات تانية من جروب شارع الأردن.
907,train,jhsc,قال رسول الله عليه وسلم ستكون فتن القاعد خير من الماشي والماشي خير من الساعي من تشرف لها تستشرفهفمن وجد منهاملجا اومعاذافليعذ به,"قال رسول الله ﷺ: ستكون فتن، القاعد فيها خير من الماشي والماشي خير من الساعي، فمن وجد منها ملجأ أو معاذاً فليعذ به.","قال رسول الله عليه الصلاة والسلام: بتكون فتن، القاعد فيها خير من الماشي، والماشي خير من الساعي. اللي يطلّع لها تستشرفه. اللي يلقى له ملجأ أو معاذ فليعتصم به.","قال رسول الله عليه الصلاة والسلام: رح تصير فتن، القاعد فيها أحسن من الماشي، والماشي أحسن من الساعي. اللي بتشرف عليها بتتشرف فيه. اللي بلاقي ملجأ أو معاذ فليلوذ فيه.","قال رسول الله عليه الصلاة والسلام: هتكون فتن، اللي قاعد فيها أحسن من اللي ماشي، واللي ماشي أحسن من اللي ساعي. اللي يتشوف لها هتتشوفه. اللي يلاقي ملجأ أو معاذ فليتمسّك بيه.","قال رسول الله صلى الله عليه وسلم: ستكون فتن، القاعد فيها خير من الماشي، والماشي خير من الساعي، ومن تشرف لها تستشرفه، فمن وجد منها ملجأ أو معاذاً فليعذ به.","قال الرسول صلى الله عليه وسلم: ""بتجي فتن، اللي يقعد فيها خير من اللي يمشي، واللي يمشي خير من اللي يسعى. اللي يتشرف لها بتستشرفه. فمن لقى له ملجأ أو مكان آمن، خليه يلجأ له.""","الرسول صلى الله عليه وسلم قال: رح تصير فتن. اللي قاعد أحسن من اللي ماشي، واللي ماشي أحسن من اللي بسعى. اللي بتطلع عليها أو بفتش عليها، هي بتجره إلها. فإذا حدا لقى منها ملجأ أو مكان يحتمي فيه، خليه يلجأ إله.","الرسول صلى الله عليه وسلم قال: هتحصل فتن، اللي قاعد أحسن من اللي ماشي، واللي ماشي أحسن من اللي بيسعى. واللي هيتطلع ليها، هتجره ليها. فلو حد لقى ملجأ أو مكان يحتمي بيه، يلجأ ليه."
908,train,jhsc,حل عن طيزي يا ولد,ابتعد عني يا ولد.,اتركني بحالي لو سمحت يا ولد,سيبني بحالي لو سمحت يا ولد,سيبني في حالي لو سمحت يا ولد,توقف عن التدخل في أموري.,"يا أخي، ممكن تبتعد عن طريقي لو سمحت؟",حل عني يا ولد.,سيبني في حالي.
909,train,jhsc,طفل سوري لاجي بالاردن جزاكم الله خير يااهل الخير نرجو التواصل معي لاغاثه الاشقاء السورين,"طفل سوري لاجئ في الأردن، جزاكم الله خيراً يا أهل الخير، نرجو التواصل معي لإغاثة الأشقاء السوريين.","طفل سوري لاجئ بالأردن، جزاكم الله خير يا أهل الخير. نرجو التواصل معي لإغاثة الأشقاء السوريين.","طفل سوري لاجئ بالأردن، جزاكم الله خير يا أهل الخير. يا ريت تتواصلوا معي لدعم وإغاثة أشقائنا السوريين.","طفل سوري لاجئ في الأردن، جزاكم الله خير يا أهل الخير. ياريت تتواصلوا معايا لإغاثة أشقائنا السوريين.","هناك طفل سوري لاجئ في الأردن. جزاكم الله خيرًا يا أهل الخير، نرجو التواصل معي لإغاثة الأشقاء السوريين.","طفل سوري لاجئ في الأردن. يا أهل الخير، جزاكم الله خير، الرجاء التواصل معي لإغاثة إخواننا السوريين.","في طفل سوري لاجئ عنا بالأردن. يا أهل الخير، جزاكم الله كل خير، الرجاء التواصل معي لإغاثة إخواننا السوريين.","فيه طفل سوري لاجئ في الأردن. يا أهل الخير، ربنا يجازيكم كل خير. ياريت تتواصلوا معايا عشان نساعد إخواتنا السوريين."
910,train,jhsc,بالفيديو داعش تدمر متحف الموصل الاثري للكلدان و الاشوريين,بالفيديو داعش تدمر متحف الموصل الأثري للكلدان والآشوريين.,"بالفيديو داعش تهدم متحف الموصل الأثري للكلدان والآشوريين، جريمة بحق تاريخنا وحضارتنا.","بالفيديو داعش بتدمر متحف الموصل الأثري للكلدان والآشوريين، جريمة بحق تاريخنا وحضارتنا.","بالفيديو داعش بتهد متحف الموصل الأثري للكلدان والآشوريين، جريمة في حق تاريخنا وحضارتنا.","بالفيديو، تنظيم الدولة الإسلامية يدمر متحف الموصل الأثري الخاص بالكلدان والآشوريين.","بالفيديو، داعش تدمر متحف الموصل الأثري حق الكلدان والآشوريين.","بالفيديو، داعش بتدمر متحف الموصل الأثري للكلدان والآشوريين.","بالفيديو، داعش بتدمر متحف الموصل الأثري بتاع الكلدان والآشوريين."
