ID,split,source,source_text,gpt_msa_detox,gpt_gulf_detox,gpt_levantine_detox,gpt_egyptian_detox
602,train,jhsc,دخن سيجاره بعد ما تشرب عصير برتقال حتحس بطعم بوشار,جرّب سيجارة بعد عصير البرتقال وستلاحظ طعماً مختلفاً.,"جرب تدخن سيجارة بعد ما تشرب عصير برتقال، بتحس بطعم يشبه البوشار.","جرب تدخن سيجارة بعد ما تشرب عصير برتقال، رح تحس بطعمة قريبة للبوشار.","جرب تدخن سيجارة بعد ما تشرب عصير برتقان، هتحس بطعم شبه البوشار."
603,test,jhsc,ساقتلك باشنع طريقه يوما ما,سأحاسبك على ذلك يوماً ما.,"بتتحاسب على اللي سويته، ويوم بيجي وتدفع ثمنه كامل.","رح تتحاسب على كل شي عملته، ويومك جاي وحتدفع حقه كامل.","هتتحاسب على كل اللي عملته، ويومك جاي وهتدفع تمنه كامل."
604,test,jhsc,وهي تدري انني من دونها لا اقطع الشارع وحدي نزار قباني,"وهي تعلم أنني لا أستطيع الاستغناء عنها، كما قال نزار قباني.",وهي تدري اني من دونها ما اقدر حتى اقطع الشارع لحالي. نزار قباني,وهي بتعرف إني من دونها ما بقدر حتى أقطع الشارع لحالي. نزار قباني,وهي عارفة إني من غيرها ما اقدرش حتى أعدي الشارع لوحدي. نزار قباني
605,train,jhsc,يا صباح التكسي الي بدوش الا ليرات شارع الاستقلال,صباح التكاسي التي لا تقبل إلا الليرات.,"صباح الخير على تكاسي شارع الاستقلال اللي ما تاخذ إلا ليرات، عاد ما يقبلون غيرها","صباح الخير على تكاسي شارع الاستقلال اللي ما بدها إلا ليرات، ما بترضى بغير هيك","صباح الخير على تاكسيات شارع الاستقلال اللي مش عايزين غير ليرات، مش بيقبلوا حاجة تانية"
606,train,jhsc,من راي انه مسيء فهو محسن ومن راي انه محسن فهو مسيءاعجبتني,"من يراه مسيئاً يعتبره مخطئاً، ومن يراه إيجابياً يعتبره محقاً.","من وجهة نظري اللي يشوفه مسيء يعتبره محسن، واللي يشوفه محسن يعتبره مسيء. الفكرة اعجبتني.","برأيي اللي بشوفه مسيء بعتبره محسن، واللي بشوفه محسن بعتبره مسيء. الفكرة عجبتني.","من وجهة نظري اللي شايفه مسيء بيعتبره محسن، واللي شايفه محسن بيعتبره مسيء. الفكرة عجبتني."
607,train,jhsc,والله يا ريت لو حاكي قبل بس ازا بدك بتشرف والتكت تبعي الك,"كنت أتمنى لو أخبرتني مبكراً، لكن ما زلت مرحباً بك.","يا ليتك قايل من قبل، بس إذا ودك تتفضل والتذكرة عليّ لك","والله يا ريت لو حاكي قبل، بس إذا بدك بتتشرف والتكت عليّ إلك","والله يا ريت لو كنت قايل بدري، بس لو حابب تتشرف والتذكرة عليّا ليك"
608,train,jhsc,اللهم هون برد الشتاء علي عبادك المستضعفين في سوريا وارحم ضعفهم وقله حيلتهم,اللهم هون برد الشتاء على المستضعفين في سوريا وارحم ضعفهم.,اللهم هون برد الشتاء على عبادك المستضعفين في سوريا وارحم ضعفهم وقلة حيلتهم,يا رب خفف برد الشتوية عن عبادك المستضعفين بسوريا وارحم ضعفهم وقلة حيلتهم,يا رب هون برد الشتا على عبادك المستضعفين في سوريا وارحم ضعفهم وقلة حيلتهم
609,train,jhsc,اغلب الي هون ع تويتر عرصات و من تحت ل تحت,أغلب الموجودين هنا على تويتر يتصرفون بطرق لا تعجبني.,اغلب اللي هنا في تويتر ناس منافقين ويلعبونها من تحت لتحت,اغلب اللي هون على تويتر ناس منافقين وبيلعبوها من تحت لتحت,اغلب اللي هنا على تويتر ناس منافقين وبيشتغلوا من تحت لتحت
610,train,jhsc,لما حد يطلب مني كاست ميه كنت اشرب شوي منها عالطريق و كنت امسح تمي عشان ما يعرف ه,عندما كان أحدهم يطلب مني كوب ماء كنت أشرب منه قليلاً قبل أن أوصله له.,"إذا أحد طلب مني قلاص مويه، كنت أشرب له شوي بالطريق وأمسح فمي عشان ما يدري","لما حدا كان يطلب مني كاسة مي، كنت أشرب منها شوي بالطريق وأمسح تمّي عشان ما يلاحظ","لما حد كان يطلب مني كوباية ميه، كنت أشرب منها شوية في السكة وامسح بقي عشان ما ياخدش باله"
611,train,jhsc,ولك سوي اي اشي بالدنيا ولا تفوتي علي الرويال اكاديمي,افعلي أي شيء في الدنيا لكن لا تدخلي هذه الأكاديمية.,يا جماعة سووا أي شيء بالدنيا بس لا تدخلون الرويال أكاديمي,اعملوا اي اشي بالدنيا بس لا تفوتوا على الرويال اكاديمي,اعملوا اي حاجة في الدنيا بس متدخلوش الرويال أكاديمي
612,train,jhsc,صمت كل رجال العالم الشرفاء وتكلمت انجلينا ومن هي انجلينا ياللعار والهزيمه والانحطاط,صمت كثير من الرجال وتحدثت أنجلينا جولي دفاعاً عن القضية.,سكت كل رجال العالم الشرفاء وتكلمت انجلينا. ومن هي انجلينا؟ يا للخزي والهزيمة والانحدار.,سكتوا كل رجال العالم الشرفاء وحكت انجلينا. مين هي انجلينا؟ يا للخزي والهزيمة والانحدار.,سكت كل رجال العالم الشرفاء واتكلمت أنجلينا. مين هي أنجلينا؟ يا للخزي والهزيمة والانحدار.
613,test,jhsc,من مين بدي اسرقك من مين مني انا من الحب من حلوين ذكريات الطفوله عل التلفزيون الاردني,من الذي يمكن أن يأخذك مني؟ ما زلت أحتفظ بأجمل ذكرياتنا.,من مين أبي أسرقك؟ من مين؟ مني أنا؟ من الحب؟ من حلا ذكريات الطفولة على التلفزيون الأردني.,من مين بدي أسرقِك؟ من مين؟ مني أنا؟ من الحب؟ من حلا ذكريات الطفولة عالتلفزيون الأردني.,من مين عايز أسرقِك؟ من مين؟ مني أنا؟ من الحب؟ من حلا ذكريات الطفولة على التلفزيون الأردني.
614,train,jhsc,رزقك ات ات والحب رزق والفرح رزق وصديقك رزق مسكين من لم يطلب من الرزاق سوي المال,"الرزق ليس مالاً فقط، بل محبة وأصدقاء وفرح أيضاً.",رزقك مكتوب والحب رزق والفرح رزق والصديق رزق. مسكين اللي ما يطلب من الرزاق إلا المال.,"رزقك مكتوب، والحب رزق، والفرح رزق، والصاحب رزق. مسكين اللي ما بطلب من الرزّاق غير المصاري.","رزقك مكتوب، والحب رزق، والفرح رزق، والصاحب رزق. مسكين اللي ما يطلب من الرزاق غير الفلوس."
615,train,jhsc,نطلع عنص الكاسه المليان هلا بنقدر نشرب قهوه بالجامعه,"لننظر إلى الجانب المشرق، أصبح بإمكاننا شرب القهوة في الجامعة.",نطلع نص الكاسة المليانة؟ الحين نقدر نشرب قهوة بالجامعة؟,نطلع نص الكاسة المليانة؟ هسا بنقدر نشرب قهوة بالجامعة؟,نطلع نص الكوباية المليانة؟ دلوقتي نقدر نشرب قهوة في الجامعة؟
616,test,jhsc,نار وسعار ع قلوبهم,هذا الأمر يثير غضبهم بشدة.,النار والسعار آكل قلوبهم,النار والسعار مولع بقلوبهم,النار والسعار واكلين قلوبهم
617,train,jhsc,داعش صبرك صبرك الاردني سيحفر قبرك,"داعش، اقتربت نهايتك.","داعش كفاية لعبك، الاردني ما راح يسكت عليكم وراح يوقفكم عند حدكم","داعش خلص لعبكم، الاردني ما رح يسكت عليكم ورح يوقفكم عند حدكم","داعش بقى كفاية لعب، الاردني مش هيسكت عليكم وهيوقفكم عند حدكم"
618,train,jhsc,اللهم رد كيدهم في نحرهم حسبي الله ونعم الوكيل في داعش واعوانها,اللهم اكفنا شر داعش وأعوانها.,"حسبي الله ونعم الوكيل على داعش وأعوانها، اللهم اكفنا شرهم ورد كيدهم في نحورهم","حسبي الله ونعم الوكيل على داعش وأعوانهم، يا رب رد كيدهم بنحورهم واحمِ الناس من شرهم","حسبي الله ونعم الوكيل في داعش وأعوانها، يا رب رد كيدهم في نحورهم واحفظ الناس من شرهم"
619,train,jhsc,اليوم اليوم اليوم اخدت الاوكيه وبكره حروح ع دكتور و اسقطها هم و نزاح يا رجل,"اليوم حصلت على الموافقة، وغداً سأراجع الطبيب وأرتاح من هذا الهم.",اليوم جاني القبول وبكرة رايحة للدكتور وبسوي اسقاط. ارتحت من الهم خلاص يا رجل,اليوم اخدت الموافقة وبكرا رايحة عالدكتور وبدي اسقط. خلص منرتاح من هالهم يا زلمة,النهاردة اخدت الموافقة وبكرة رايحة للدكتور وهعمل اسقاط. خلاص هنرتاح من الهم يا راجل
620,train,jhsc,و صاب السياره بعين الله لا يسامحه و يحرقوا,أصاب السيارة بعين حاسدة وأتمنى أن يُحاسب على ذلك.,"اللي عيّن على سيارتي الله لا يسامحه، خربها وتعبني فيها.","اللي نحسد سيارتي الله لا يسامحه، خربها وخلاني أتغلب فيها.","اللي حط عينُه على عربيتي ربنا ما يسامحُه، باظت وتعبتني بسببُه."
621,train,jhsc,اقصد رايه بداعش تحديدا ولكنه حتي بالماده التي ينتقض فيها داعش لم يخلو في اخره من الكبر عندما قال انه يستطيع ان ياتي بالمعلومه,"أنتقد موقفه من داعش، لكنه في الوقت نفسه يتحدث بتعالٍ وكأنه يمتلك الحقيقة وحده.","اقصد رأيه بداعش تحديداً، لكن حتى بالمادة اللي ينتقد فيها داعش ما خلا آخرها من تعالُم، يوم قال إنه يقدر يجيب المعلومة.","قصدي رأيه بداعش تحديداً، بس حتى بالمادة اللي بنقد فيها داعش ما خلصت من التعالي، لما حكى إنه بقدر يجيب المعلومة.","قصدي رأيه في داعش تحديداً، بس حتى في المادة اللي بينتقد فيها داعش ما خلتش من التعالي في الآخر لما قال إنه يقدر يجيب المعلومة."
622,dev,jhsc,عاشو شارع مكه,عاش شارع مكة.,عاشوا أهل شارع مكة,عاشوا شباب شارع مكة,عاشوا ناس شارع مكة
623,test,jhsc,مجمع الحسيني التجاري شارع زهران الدوار السابع الثامن,مجمع الحسيني التجاري على شارع زهران بين الدوار السابع والثامن.,مجمع الحسيني التجاري على شارع زهران بين الدوار السابع والثامن,مجمع الحسيني التجاري على شارع زهران بين الدوار السابع والثامن,مجمع الحسيني التجاري على شارع زهران بين الدوار السابع والثامن
624,train,jhsc,صلوا علي من ولد يتيما وعاش كريما ومات عظيمااللهم صل وسلم علي اشرف الخلق محمد صلي الله عليه وسلم,اللهم صل وسلم على سيدنا محمد الذي وُلد يتيماً وعاش كريماً ومات عظيماً.,صلوا على من ولد يتيما وعاش كريما ومات عظيما. اللهم صل وسلم على أشرف الخلق محمد,صلّوا على اللي انولد يتيّم وعاش كريم ومات عظيم. اللهم صلِّ وسلم على أشرف الخلق محمد,صلوا على اللي اتولد يتيم وعاش كريم ومات عظيم. اللهم صلِّ وسلّم على أشرف الخلق محمد
625,train,jhsc,الي مين العصير الي بالثلاجه والمصيبه يحكي واهو يشربو,لمن هذا العصير الموجود في الثلاجة؟ وصاحبه يشاهده وهو يُشرب.,لمين العصير اللي بالثلاجة؟ والمصيبة يتكلم وهو قاعد يشربه!,لمين العصير اللي بالثلاجة؟ والمصيبة بحكي وهو عم بشربه!,العصير اللي في التلاجة ده بتاع مين؟ والمصيبة بيتكلم وهو بيشربه!
626,train,jhsc,السياسي اله شغله و العسكري اله شغله لا بد من الاطلاع لكن ما ننسي التخصص,"لكل من السياسي والعسكري دوره، ولا بد من احترام التخصصات.",السياسي له شغله والعسكري له شغله. لازم نطلع على كل شي بس لا ننسى موضوع التخصص.,السياسي إله شغله والعسكري إله شغله. ضروري نكون مطّلعين بس ما ننسى التخصص.,السياسي ليه شغله والعسكري ليه شغله. لازم نبقى مطّلعين بس ما ننساش موضوع التخصص.
627,train,jhsc,انظرو من هم داعش,انظروا من هم داعش وما الذي يمثلونه.,شوفوا منو هم داعش,شوفوا مين هم داعش,شوفوا مين هما داعش
628,train,jhsc,ستكون سوريا مقبره لهم,ستكون سوريا مقبرة لهم.,"سوريا ما راح تكون سهلة عليهم، وبتصير نهاية مشروعهم هناك.","سوريا مش رح ترحمهم، وحتكون نهاية مخططاتهم هناك.","سوريا مش هتبقى سهلة عليهم، وهتبقى نهاية مشروعهم هناك."
629,train,jhsc,شارع احمد مفلح ابو عاكف الرمثا الحدود السوريه,شارع أحمد مفلح أبو عاكف في الرمثا قرب الحدود السورية.,"شارع احمد مفلح ابو عاكف في الرمثا قريب من الحدود السورية. وين الخدمات؟ الطريق متهالك وما في اهتمام، والجهات المسؤولة ساكته. إلى متى هالإهمال؟","شارع احمد مفلح ابو عاكف بالرمثا عند الحدود السورية وضعه سيئ. لا صيانة ولا إنارة، والبلدية غايبة. لحد امتى بدنا نظل نستنى؟","شارع احمد مفلح ابو عاكف في الرمثا جنب الحدود السورية حالته صعبة. لا رصف ولا إنارة، والمسؤولين مش شايفين. لحد امتى هنفضل كده؟"
630,train,jhsc,للاسف الشديد ما استفدنا من التجربه الفلسطينيه,للأسف لم نستفد من التجربة الفلسطينية كما ينبغي.,للأسف الشديد ما استفدنا من التجربة الفلسطينية,للأسف الشديد ما استفدنا من التجربة الفلسطينية,للأسف الشديد ما استفدنا من التجربة الفلسطينية
631,train,jhsc,رولي الحروب وحوار جدلي ضيفه اثير برنامج جمعنا الهوا علي اذاعه الجامعه حين يجتمع الاعلام بالسياسه,رولا الحروب ضيفة برنامج جمعنا الهوا في حوار يجمع الإعلام بالسياسة.,"رولي الحروب وحوار جدلي، وضيفها أثير، برنامج جمعنا الهوا على إذاعة الجامعة. لما الإعلام يجتمع مع السياسة يصير النقاش غير.","رولي الحروب وحوار جدلي، وضيفها أثير، برنامج جمعنا الهوا على إذاعة الجامعة. لما الإعلام يلتقي مع السياسة الحديث بصير غير.","رولي الحروب وحوار جدلي، وضيفها أثير، برنامج جمعنا الهوا على إذاعة الجامعة. لما الإعلام يتقابل مع السياسة الحوار بياخد شكل تاني."
632,train,jhsc,لازم يسجنو الزوج اول وبعد ما ينهي المده يدخلو زوجته السجن عشان ما يلتقو,"يجب معاقبة الزوج أولاً ثم الزوجة، حتى لا يلتقيا خلال فترة العقوبة.","لازم يسجنون الزوج اول، وبعد ما يخلص مدته يدخلون زوجته السجن عشان ما يلتقون.","لازم يسجنوا الزوج اول، وبعد ما يخلص مدته بيدخلوا زوجته السجن عشان ما يلتقوا.","لازم يسجنوا الزوج الاول، وبعد ما يخلص مدته يدخلوا مراته السجن عشان ما يقابلوش بعض."
633,train,jhsc,نفسي اطنش بكرا سياسه واقتصاد,أتمنى أن أتجاهل السياسة والاقتصاد غداً.,ودي بكرا أطنش السياسة والاقتصاد,بتمنى بكرا أطنش السياسة والاقتصاد,نفسي بكرة أطنش السياسة والاقتصاد
634,train,jhsc,عواصف ثلجيه داخل المخيمات الثلجيه اعان الله اخوننا السوريين,"العواصف الثلجية تضرب المخيمات، أعان الله إخواننا السوريين.","عواصف ثلجية تضرب المخيمات، الله يعين إخواننا السوريين","عواصف ثلجية عم تضرب المخيمات، الله يعين إخوتنا السوريين","عواصف ثلجية بتضرب المخيمات، ربنا يعين إخوتنا السوريين"
635,train,jhsc,منيح مش سيء,الأمر جيد وليس سيئاً.,تمام مو سيئ,منيح مش سيئ,تمام مش وحش
636,train,jhsc,الحسن اللجوء السوري ادي الي نقص في حصه الفرد الاردني من المياه,"سيد الحسن، اللجوء السوري أدى إلى تراجع حصة الفرد الأردني من المياه.",وجود اللجوء السوري سبب ضغط كبير وخلّى حصة الفرد من الموية في الأردن تنقص بشكل واضح,"اللجوء السوري عمل ضغط وزاد الاستهلاك، وقلل حصة الفرد الأردني من المي بشكل ملحوظ","اللجوء السوري عمل ضغط وزوّد الاستهلاك، وقلل نصيب الفرد الأردني من الميه بشكل واضح"
637,dev,jhsc,الفيديو ما قدرت احضروا من المناظر اللي فيه داعش مصيرهم نفس اسرائيل ان شالله,"لم أستطع مشاهدة الفيديو بسبب مشاهده القاسية، وأتمنى أن يكون مصير داعش كمصير إسرائيل.","ما قدرت أشوف الفيديو من هول المناظر فيه. داعش طريقهم بيكون مثل طريق إسرائيل، وأتمنى ينالون جزاءهم العادل.","ما قدرت أحضر الفيديو من هول المناظر اللي فيه. داعش مصيرهم رح يكون مثل مصير إسرائيل، ويا رب ياخدوا جزاهم العادل.","ما قدرت أكمل الفيديو من بشاعة المناظر اللي فيه. داعش مصيرهم هيبقى زي مصير إسرائيل، وإن شاء الله ياخدوا جزاءهم العادل."
638,train,jhsc,الخلقه السلطيه لبس جداتنا التراثي,الخلقة السلطية من تراث جداتنا الجميل.,الخلقه السلطيه هو لبس جداتنا التراثي ونعتز فيه,الخلقة السلطية هو لبس جداتنا التراثي واحنا فخورين فيه,الخلقة السلطية ده لبس جداتنا التراثي واحنا فخورين بيه
639,train,jhsc,داعش بهمجيتهم يبرروا افعالهم ب الله اكبر الله اكبر عليكم يا كلاب,"داعش تبرر أفعالها باسم الدين، وهي بذلك تسيء إلى هذا الشعار العظيم.","داعش بهمجيتهم يبررون أفعالهم بقولهم الله أكبر. الله أكبر عليكم، كفاية ظلم وإساءة للدين.","داعش بهمجيتهم ببرروا أفعالهم بقولهم الله أكبر. الله أكبر عليكم، كفاية تشويه للدين والناس.","داعش بهمجيتهم بيبرروا أفعالهم بإنهم يقولوا الله أكبر. الله أكبر عليكم، كفاية تشويه للدين وإساءة للناس."
640,train,jhsc,عجبا من زمن اصبح انتقاد الصهاينه اللصوص تهمه يحاكم عليها الشرفاءارفع راسك فانت انسان شريف ونحن نحترمك,"أصبح انتقاد الصهاينة عند البعض تهمة، رغم أنه موقف مشروع في نظر كثيرين.","غريب زمن صرنا فيه إذا انتقدنا الصهاينة السارقين تصير تهمة يتحاسب عليها الشرفاء. ارفع راسك، انت انسان شريف واحنا نحترمك.","غريب هالزمن اللي صار فيه انتقاد الصهاينة السارقين تهمة بينحاكم عليها الشرفاء. ارفع راسك، انت انسان شريف وإحنا بنحترمك.","غريب زمن بقينا فيه لما ننتقد الصهاينة السارقين تبقى تهمة يتحاسب عليها الشرفا. ارفع راسك، انت انسان شريف وإحنا بنحترمك."
641,train,jhsc,سلفي سريالي علي قوله ايهم,صورة سيلفي بطابع سريالي كما وصفها أيهم.,سلفي سريالي على قول أيهم,سلفي سريالي عقول أيهم,سلفي سريالي على قول أيهم
642,train,jhsc,سكينه اطمئنان و علي الوجه قناع مبتسم لا يتحرك اما ما يجري وراء القناع فهذا من شاننا,"أحمل سكينة ظاهرة وابتسامة هادئة، أما ما خلفها فهو شأن خاص.","سكينة واطمئنان، والوجه عليه قناع مبتسم ما يتغيّر. أما اللي يصير ورا القناع فهذا موضوعنا وحنا نعرفه.","سكينة واطمئنان، والوجه عليه قناع مبتسم ما بتحرك. بس اللي بصير ورا القناع هاد إلنا وإحنا منعرفه.","سكينة واطمئنان، والوش عليه قناع مبتسم ما بيتحرك. إنما اللي بيحصل ورا القناع ده بتاعنا وإحنا عارفينه."
643,train,jhsc,خوات الهبله بقتلوا القتيل وبمشوا بجنازته,هؤلاء يتسببون بالمشكلة ثم يتظاهرون بأنهم أبرياء منها.,هالخوات يعملون المصيبة وبعدين يمثلون دور البراءة ويمشون بجنازته,هالخوات بيساويوا المصيبة وبعدين بيمثلوا البراءة وبيمشوا بجنازته,الخوَات يعملوا المصيبة وبعدين يمثلوا البراءة ويمشوا في جنازته
644,train,jhsc,صحاب السوء ضحكوا عليا وغرقوني لفولي حاجه بني وشربوني حسيت احساس غريب معرفش مالي مبقيتش عارف يميني من شمالي,أصدقاء السوء خدعوني وأعطوني شيئاً جعلني أشعر بحالة غريبة وغير طبيعية.,"اصحاب السوء لعبوا علي وخلوني اتورط في شي مش تمام، وشربوني شي خلاني احس بشعور غريب. ما ادري وش فيني، صرت ما افرق اليمين من الشمال.","صحاب السوء لعبوا علي وخلوني اتورط باشي مش منيح، وشربوني اشي خلاني احس احساس غريب. ما بعرف شو صاير معي، بطلت مميز يميني من شمالي.","صحاب السوء لعبوا عليا وخلوني اتورط في حاجة مش كويسة، وشربوني حاجة خلتني حاسس بإحساس غريب. مش فاهم مالي وبقيت مش عارف يميني من شمالي."
645,train,jhsc,ام سلطان تناشدكم بعتق رقبه ابنها سلطان مطلوب خمس مليون ساهم بما تسطيع,أم سلطان تناشد المساعدة لإنقاذ ابنها سلطان المطلوب منه مبلغ كبير.,"ام سلطان تناشدكم تفكون كربة ولدها سلطان، المبلغ المطلوب خمس ملايين. اي مساهمة تقدرون عليها بتكون فضل كبير.","ام سلطان بتناشدكم تفكوا كربة ابنها سلطان، المطلوب خمس ملايين. اي مساعدة بتقدرو عليها بتكون الها اجر.","ام سلطان بتناشدكم تفكوا كربة ابنها سلطان، المبلغ المطلوب خمسة مليون. اي مساهمة تقدر عليها هتكون كبيرة في ميزانكم."
646,train,jhsc,كسم السكره بدونك يا خليفه,الحياة بلاك صعبة يا خليفة.,الله لا يبارك بالسكره اللي صارت بدونك يا خليفه,يا ريت السكره ما صارت بدونك يا خليفه,يا ريت السكره ما كانت من غيرك يا خليفه
647,train,jhsc,الاشراف وعريعر وابن رشيد والرياض وما جاورها كانت خاضعه للسلطن العثماني فانتم مغفلون لا تقراون,الأشراف وآل رشيد والرياض كانت مناطق خاضعة للدولة العثمانية تاريخياً.,"الاشراف وعريعر وابن رشيد والرياض وما حولها كانوا خاضعين للسلطة العثمانية، واللي ينكر هالشي واضح انه ما يقرأ التاريخ زين.","الاشراف وعريعر وابن رشيد والرياض والمناطق اللي حواليها كانوا تحت السلطة العثمانية، واللي بنفي هالحكي شكله ما بقرا بالتاريخ منيح.","الاشراف وعريعر وابن رشيد والرياض وما حواليها كانوا تحت السلطة العثمانية، واللي بينكر ده باين انه مش بيقرأ التاريخ كويس."
648,train,jhsc,سوق لداعش قناه مول يخلو من البشر,هذا المكان أصبح خالياً من الناس وكأنه سوق مهجور.,"سوق قناة مول صاير كنه مهجور، ما فيه أحد، كأنه ساحة ترويج لداعش من كثر الفراغ والوضع المريب","سوق قناة مول فاضي على الاخر، ما فيه بني آدم، وكأنه صار ساحة ترويج لداعش من قد ما الوضع غريب","سوق قناة مول فاضي خالص، مافيش حد، كأنه بقى ساحة ترويج لداعش من كتر الحالة المريبة"
649,train,jhsc,في الدوري الايطالي لاعب دفع لاعب و سقط علي الارض ف حرم اللاعب من مباريات رونالدو لكم لاعب علي وجهه و يحرم مباراه واحده,في الدوري الإيطالي عوقب لاعب بالإيقاف عدة مباريات بسبب دفع منافسه.,"في الدوري الإيطالي لاعب دف لاعب و طاح بالأرض، وعاقبوه بحرمان كم مباراة. ورونالدو لكم لاعب بوجهه و عطوه حرمان مباراة وحدة بس. وين العدل؟","بالدوري الإيطالي لاعب دف لاعب و وقع عالأرض، وانحرم كم مباراة. ورونالدو ضرب لاعب بوجهه وبس انحرم مباراة وحدة. يعني عدالة على كيفهم؟","في الدوري الإيطالي لاعب زق لاعب و وقع على الأرض فاتحرم كام ماتش، ورونالدو ضرب لاعب في وشه واتحرم ماتش واحد بس. فين العدل؟"
650,train,jhsc,الجارديان تعتذر لامل كلوني والسلطات المصريه,الجارديان تعتذر لأمل كلوني وللسلطات المصرية.,الجارديان قدمت اعتذارها لأمل كلوني وللسلطات المصرية. خطوة متأخرة بس كان لازم يصير تصحيح للمعلومة واحترام للأطراف المعنية.,الجارديان اعتذرت لأمل كلوني وللسلطة المصرية. تأخروا بس المهم صححوا ورجعوا احترموا الناس المعنية.,الجارديان قدمت اعتذار لأمل كلوني وللسلطات المصرية. متأخر شوية بس كويس إنهم صححوا واحترموا الأطراف المعنية.
651,train,jhsc,الذي يصنف الغناء كفاحشه و خطيئه فدوله داعش ترحب بكم في سوريا والعراق وليس هنا,من يعتبر الغناء خطيئة مطلقة سيجد نفسه أقرب إلى فكر داعش منه إلى الحياة الطبيعية.,"اللي يعتبر الغناء فاحشة وخطيئة، مكانه عند تنظيم داعش في سوريا والعراق، مو هنا.","اللي بشوف الغناء فاحشة وخطيّة، مكانه مع تنظيم داعش بسوريا والعراق، مش هون.","اللي شايف إن الغنا فاحشة وخطيّة، مكانه مع تنظيم داعش في سوريا والعراق، مش هنا."
652,train,jhsc,وما لحقت اشرب قهوه يا خساره,وللأسف لم أتمكن من شرب القهوة.,"والله ما لحقت أشرب قهوتي، خسارة","ما لحقت أشرب قهوتي، يا خسارة","ملحقتش أشرب قهوتي، يا خسارة"
653,train,jhsc,وعلمنا بناء المجد حتي اخذنا امره الارض اغتصابا,تعلمنا بناء المجد حتى امتلكنا زمام الأرض.,"وتعلمنا نبني المجد لين صار لنا شأن، بس للأسف وصلنا ناخذ أمر الأرض بالقوة وكأنها حقّنا.","تعلمنا نبني المجد لحد ما صار إلنا شأن، بس مع الأسف صرنا ناخد أمر الأرض بالقوة وكأنه إلنا.","اتعلمنا نبني المجد لحد ما بقى لينا شأن، بس للأسف بقينا ناخد أمر الأرض بالقوة وكإنها بتاعتنا."
654,train,jhsc,ه اه سوي بالقشاطه,"نعم، استخدم الأداة المناسبة لذلك.",وش أسوي بالقشاطة؟,شو أعمل بالقشاطة؟,أعمل إيه بالقشّاطة؟
655,train,jhsc,تقدر تقنع البشر وكتب معلقات كمان يعني نصاب كلام حدد هويتك سياسي ام,"يمكنك إقناع الناس بالكلام، لكن عليك أن تحدد هويتك وموقفك بوضوح.","تقدر تقنع الناس وتكتب معلقات بعد، يعني تلعب بالكلام. حدّد هويتك، انت سياسي ولا وش بالضبط؟","بتعرف تقنع الناس وبتكتب مطولات، يعني شاطر بالحكي. حدّد هويتك، انت سياسي ولا شو بالزبط؟","قادر تقنع الناس وبتكتب مطولات كمان، يعني شاطر في الكلام. حدّد هويتك، انت سياسي ولا إيه بالظبط؟"
656,train,jhsc,سياسي ترجمي اشياء ل داعش والله صاحبتي الفصل الماضي عملت هيك وكان كتير منيح اجيبلك اياه,صديقتي أنجزت مشروعاً عن داعش في الفصل الماضي وكانت النتيجة جيدة.,السياسي هذا يترجم مواد لتنظيم داعش. والله صاحبتي الترم اللي فات سوت كذا وكان ممتاز. تبيني أجيب لك إياه؟,هالسياسي بترجم شغلات لتنظيم داعش. والله صاحبتي الفصل الماضي عملت هيك وكان ممتاز. بدك أجيبلك إياه؟,السياسي ده بيترجم حاجات لتنظيم داعش. والله صاحبتي الترم اللي فات عملت كده وكان كويس جدا. عايز أجيبهولك؟
657,train,jhsc,انشاءالله الي الشرف,"سيكون ذلك شرفاً لي، إن شاء الله",ان شاء الله اللي له حق ياخذه,إن شاء الله اللي إله حق بياخده,إن شاء الله اللي ليه حق ياخده
658,train,jhsc,طلعت عالشارع وعنجد مش طبيعي الثلج الحمدلله,"خرجت إلى الشارع والثلوج كانت مذهلة، الحمد لله.","طلعت للشارع والثلج شي مو طبيعي، الحمدلله","طلعت عالشارع والثلج مش طبيعي عنجد، الحمدلله","نزلت الشارع والثلج حاجة مش طبيعية، الحمدلله"
659,test,jhsc,تويته في كرهي الشديد ل اللابات المتاخره,هذه تغريدة تعبر عن انزعاجي من الحواسيب المحمولة البطيئة.,"تغريدة عن كرهي الشديد للابديتات المتأخرة، فعلاً تفقع المرارة وتأخر كل شغلي","تغريدة عن قديش بكره التحديثات المتأخرة، عنجد بتعطل كل شغلي وبتنرفز","تويتة عن كرهي الشديد للتحديثات المتأخرة، بجد بتوقف الدنيا وبتعطل شغلي"
660,train,jhsc,عاهره تتحدث عن الشرف,هناك من يتحدث عن الشرف بينما تصرفاته تناقض كلامه.,واحدة بلا مبادئ تتكلم عن الشرف,وحدة بلا أخلاق بتحكي عن الشرف,واحدة من غير مبادئ بتتكلم عن الشرف
661,train,jhsc,ليش ما بصير نسوي ريتويت الك,لماذا لا يمكننا إعادة نشر تغريدتك؟,ليش ما نقدر نسوي رتويت لك؟,ليش ما بنقدر نعمل ريتويت إلك؟,ليه مش قادرين نعمل ريتويت ليك؟
