ID,split,source,source_text,gemini_msa_detox,gemini_gulf_detox,gemini_levantine_detox,gemini_egyptian_detox
3176,train,jhsc,الحمدلله كل ما احط تويته سياسيه بجيني انفولو من مبارح لهلا انفولو,"الحمدلله، كلما نشرت تغريدة سياسية، ألاحظ تراجعًا في عدد المتابعين. وقد استمر هذا النمط منذ الأمس وحتى هذه اللحظة.","الحمدلله، كل ما أنزل تغريدة سياسية، ألاحظ إن فيه إلغاء متابعات. من أمس لليوم وهذا النمط مستمر.","الحمدلله، كل ما أحط تويتة سياسية، بتجيني انفولوهات. هذا الوضع مستمر من مبارح لهلأ.","الحمدلله، كل ما أنزّل تويتة سياسية بيجيلي أنفولو. من إمبارح لغاية دلوقتي أنفولو."
3177,train,jhsc,كنت عارف ليش بتقلي ان شاء الله ول ما اسقطك,"لقد أدركت السبب الحقيقي وراء قولك ""إن شاء الله"" ولن أسمح لك بإسقاطي.","كنت عارف وش المغزى من ""إن شاء الله"" اللي كنت ترددها، وما راح أعدّيها لك.","صار واضحلي شو كان قصدك بـ ""إن شاء الله""، وصدقني الموضوع ما رح يمرق هيك.","كنت فاهم كويس إيه اللي كان ورا كلمة 'إن شاء الله' اللي اتقالت منك، وده اللي خلاني أضطر أقيمك بالتقدير المناسب للوضع."
3178,train,jhsc,شو قصه انو داعش بدهم ساجده بدل الرهينيه الياباني صحيح الحكي,ما حقيقة الأنباء المتداولة بشأن مطالبة تنظيم الدولة الإسلامية بالإفراج عن ساجدة الريشاوي مقابل الرهينة الياباني؟,وش صحة الأخبار اللي تقول إن تنظيم داعش طالب بساجدة مقابل الرهينة الياباني؟,شو قصة إنه داعش طالبين ساجدة بدل الرهينة الياباني؟ هل هالحكي صحيح؟,إيه حكاية إن داعش طالبين ساجدة بدل الرهينة الياباني؟ الكلام ده حقيقي؟
3179,dev,jhsc,المراحل الي وصلت الها فتح من الانحطاط هائله بفجروا بعض عشان مختلفين ع كلمه بالمهرجان كيف ممكن يستامنوا ع وطناي والله ع بريزه ما بتامنوا,"إن مستوى التدهور الذي بلغته حركة فتح بات مقلقًا، حيث تتفاقم الخلافات الداخلية بينهم وتصل إلى مستويات حادة، حتى على قضايا تبدو بسيطة كاختلاف حول كلمة في مهرجان. فكيف يمكن أن يُؤتمنوا على مصير الوطن، وهم لا يُظهرون ما يؤهلهم للثقة حتى في أبسط الأمور؟","المستوى اللي وصلوا له جماعة فتح من انحدار وتدهور، شيء عظيم ومؤسف. يتنازعون ويتصادمون لدرجة العنف على أبسط الأمور، مثل اختلاف على كلمة في مهرجان. بعد كل هذا، كيف ممكن نثق فيهم ونأمنهم على مصير وطن؟ والله إنهم ما ينأمنون حتى على هللة.","المراحل اللي وصلت إلها فتح من التدهور كبيرة. وصلوا لمرحلة من الصراع الداخلي الحاد، لدرجة إنه خلاف بسيط على كلمة بمهرجان ممكن يوصلهم لصدامات. كيف ممكن نأمنهم على وطنّا؟ والله ما بنأمنهم حتى على بريزة.",المستوى اللي وصلته فتح من التدهور بقى كبير أوي. بيوصلوا لخلافات عنيفة جداً عشان مجرد كلمة في مهرجان. إزاي ممكن نأمنهم على بلدنا؟ والله ما يتأمنوا على بريزة.
3180,test,jhsc,كلشي صار يدخل فيه السياسه حتي الكرتون,"باتت السياسة تتدخل في كل جانب، حتى في الرسوم المتحركة.","كل شي صار يتسيّس، حتى الكرتون.",كلشي صار يدخل فيه السياسه حتي الكرتون,"كل حاجة بقت داخل فيها السياسة، حتى الكرتون."
3181,dev,jhsc,بحب شعور اكون شريره بحس حالي مسيطره,"أحب شعور أن أكون حازمة، وأشعر بأنني مسيطرة.","أحب إحساس إني أكون شريرة، أحس إني مسيطرة.","بحب شعور أكون أنا اللي بمسك الخيوط، بحس حالي مسيطرة.","بحب الإحساس إني أكون صاحبة كلمة، بحس إني مسيطرة."
3182,train,jhsc,عمان تتوعد برد قاس علي داعش وواشنطن ترغب في دحره والامارات تعلق مشاركتها,عمان تتوعد برد قاس على داعش وواشنطن ترغب في دحره والإمارات تعلق مشاركتها.,"عمان متوعدة برد قوي على داعش، وواشنطن تبي تقضي عليه، والإمارات علقت مشاركتها.","عمان أكدت إنها رح ترد بقوة على داعش، وواشنطن بدها تقضي عليه، والإمارات علّقت مشاركتها.","عمان بتتوعد برد قاسي على داعش، وواشنطن عايزة تهزمه، والإمارات علقت مشاركتها."
3183,train,jhsc,روحو افطرو دقول اشي عيب,"إن ما تتفوهون به من كلام مستهجن، وربما كان من الأجدى بكم التوقف عن هذا الحديث.","الكلام اللي قاعدين تقولونه ما هو لائق، والأفضل يمكن لو تركزون على مواضيع أكثر أهمية.","هالحكي ما إله داعي، وغير هيك، فيه تجاوز للأصول.","يا ريت تهدوا شوية وتفكروا كويس، لأن الكلام ده بصراحة مش مقبول."
3184,train,jhsc,وحده من ثنتين يا انه قرن يا انه ماجر الكرسي الخلفي,"أحد أمرين: إما أن يكون فاقدًا للبصيرة، أو أنه يتصرف بتوجيه من جهات أخرى.","وحدة من ثنتين، يا إنه مغفل، يا إنه ماجر الكرسي الخلفي.","وحدة من ثنتين، يا انه مش داري شو بصير من وراه، يا انه متساهل بزيادة بخصوص اللي بصير بمحيطه.","واحدة من اتنين، يا إما مفيش عنده أي مانع من اللي بيحصل، يا إما هو اللي بيستغل الوضع ده."
3185,train,jhsc,ه امل ماتت بس يلا الله يعطينا اعلي العلامات ما منقول لا عنا متل سوري بقول علي قد لحافك مد رجليكو انا بعرف دواستي سيئه,"لقد تبددت الآمال، لكننا نتمنى أن ننال أعلى الدرجات، ولن نرفض ذلك. وكما يقول المثل السوري: على قدر لحافك مد رجليك، فأنا أدرك أن قدراتي متواضعة.","الأمل راح، بس يالله عسى الله يرزقنا بأعلى الدرجات، ما نقول لا. ومثل ما يقول المثل السوري: على قد لحافك مد رجولك. أنا عارف إني مقصر.","للأسف، الأمل صار صعب نوصله. بس يلا، يا رب يعطينا أعلى العلامات، ما بنقول لا. زي ما بقولوا، على قد لحافك مد رجليك. وأنا بعرف إن حظي مش كثير منيح.","الأمل مات خلاص، بس يالا، ربنا يدينا أعلى الدرجات، مش هنقول لأ. عندنا مثل سوري بيقول: على قد لحافك مد رجليك. أنا عارف إن حظي مش أحسن حاجة."
3186,train,jhsc,شكلي بسوي حساب ثاني ارد علي نفسي,يبدو أنني سأقوم بإنشاء حساب آخر لأرد على نفسي.,شكلي بسوي حساب ثاني وأرد على نفسي.,شكلي بسوي حساب ثاني أرد على حالي.,شكلي هعمل حساب تاني أرد على نفسي.
3187,train,jhsc,انباء عن زياره سريه للواء حفتر للاردن والحكومه ترفض التعليق,"تفيد الأنباء بوجود زيارة غير معلنة للواء حفتر إلى الأردن، بينما تمتنع الحكومة عن الإدلاء بأي تعليق.","تداولوا خبر عن زيارة سرية للواء حفتر للأردن، والحكومة رافضة تعلق على الموضوع.","في حكي عم يدور عن زيارة بالسر للواء حفتر عنا بالأردن، والحكومة ساكتة ومش راضية تحكي أي شي.","فيه أخبار عن زيارة سرية للواء حفتر للأردن، والحكومة رافضة تعلق."
3188,train,jhsc,لان نسورنا لا تسقط,لأن نسورنا لا تسقط.,لأن نسورنا ما تطيح.,عشان نسورنا ما بتوقع.,عشان نسورنا مبتوقعش.
3189,train,jhsc,مستحيل اشرب شيء بارد بدون ما اطلع صوت الانتعاش اح قولها مره ثانيه اح يابعد روحي كم رقمك,"يستحيل عليّ أن أحتسي مشروبًا باردًا دون أن أُطلق صوت الانتعاش، آه. قلها مرة ثانية، آه. يا روحي، ما هو رقم هاتفك؟","مستحيل أشرب شيء بارد بدون ما أطلع صوت الانتعاش، آآآح. قولها مرة ثانية، آآآح. يا بعد روحي على هالاحساس، وش هالزين اللي يذوّب!","مستحيل أشرب إشي بارد بدون ما أطلع صوت الانتعاش، أح. يا ريت لو أسمع هالصوت كمان مرة، أح. يا سلام على هالجاذبية!","مستحيل أشرب أي حاجة ساقعة من غير ما أعمل صوت الانتعاش ده، أح! قولها تاني، أح! يا روحي، ممكن أعرف رقمك؟"
3190,train,jhsc,قد نكتشف علي المدي الطويل ان الطعام المعلب سلاح اكثر فتكا من البنادق الاليه جورج اورويل كاتب انجليزي,"قد نكتشف على المدى الطويل أن الطعام المعلب سلاح أكثر فتكًا من البنادق الآلية. جورج أورويل، كاتب إنجليزي.","يمكن مع الوقت نكتشف إن الأكل المعلب سلاح أخطر من الرشاشات. جورج أورويل، الكاتب الإنجليزي.",ممكن نكتشف على المدى الطويل إنه الأكل المعلّب سلاح أفتك من البنادق الآلية.,"وارد نكتشف على المدى الطويل إن الأكل المعلب سلاح أكتر فتكًا من البنادق الآلية. جورج أورويل، كاتب إنجليزي."
3191,train,jhsc,احسن قرار سويتو بحياتي اني احط اللابات اثنين اربعاء,أفضل قرار اتخذته في حياتي هو وضع المختبرات يومي الثلاثاء والأربعاء.,أحسن قرار سويته بحياتي إني حطيت اللابات يوم الاثنين والأربعاء.,أحسن قرار سويتو بحياتي إني أحط اللابات اثنين أربعاء.,أحسن قرار عملته في حياتي إني أحط اللابات يوم الاتنين والأربع.
3192,train,jhsc,جماعه النقد من اجل النقد و جماعه المختلفون لاجل لفت الانتباه ممكن تنقعوا حالكو بكاز وسخ و تنحرقوا,"إلى جماعة النقد من أجل النقد، وإلى جماعة الاختلاف من أجل لفت الانتباه، كفوا عن هذه الممارسات التي لا طائل منها.","يا جماعة اللي تنتقدون بس عشان تنتقدون، واللي تختلفون لمجرد لفت الانتباه، يا ليت لو تركزون على شي فيه فايدة أو تلاقون لكم اهتمامات ثانية.","للناس اللي بس بتنتقد عشان تنتقد، واللي بتخالف الرأي بس عشان تلفت الانتباه، ممكن لو تريحونا من هالطريقة وتلاقوا شي مفيد تعملوه؟","يا جماعة، الناس اللي بتنتقد لمجرد الانتقاد، واللي بتختلف عشان تلفت الانتباه، يا ريت تبطلوا الأسلوب ده وتريحونا."
3193,train,jhsc,هو بس منيب والعرص ابو مازن وابنه والشله الوسخه الي هلكوه لشب,"إن منيبًا، وأبو مازن وابنه، والمجموعة المحيطة بهم، هم من تسببوا في إلحاق الأذى البالغ بالشاب.","هم بس منيب وأبو مازن وولده والمجموعة اللي معاهم، هم اللي كانوا سبب في اللي صار للشاب.","منيب وأبو مازن وابنه، ومعهم الناس اللي بتدعمهم، هم اللي تعبوا الشب كثير وأثروا على حياته بشكل سلبي.","هي المسؤولية كلها على منيب، والسيد أبو مازن وابنه، والمجموعة اللي حواليهم، اللي تسببوا في كل اللي حصل للشاب."
3194,train,jhsc,جلسه عشاء وديه في مطعم ورد بعمان مع الوزير السابق الدكتور امين مشاقبه واستاذ العلوم السياسيه الدكتور,جلسة عشاء ودية في مطعم ورد بعمان مع الوزير السابق الدكتور أمين مشاقبة وأستاذ العلوم السياسية الدكتور.,"تشرفنا بعشاء ودي في مطعم ورد بعمان، جمعنا بمعالي الوزير السابق الدكتور أمين مشاقبة، والأستاذ الدكتور في العلوم السياسية.","قعدة عشا لطيفة بمطعم ورد بعمان، جمعتني بمعالي الوزير السابق الدكتور أمين مشاقبة ومع أستاذنا الدكتور [اسم أستاذ العلوم السياسية].",قعدة عشا ودية في مطعم ورد في عمان مع الوزير السابق الدكتور أمين مشاقبة وأستاذ العلوم السياسية الدكتور.
3195,test,jhsc,شكو ولك الصناعيه اسهل شي مش هاد الهم المهم اني قاعده بسقط بموادي اه بس انت بتكفي,"ما شأن الصناعة، وهي أيسر الأمور؟ ليس هذا هو الهم الأهم. إنني أرسب في مقرراتي الدراسية، وأنت وحدك تكفي.","يا أخي، موضوع الصناعية أسهل شيء، مو هذا الهم الأهم. أنا جالسة أرسب بموادي، وأنت لحالك كفاية.","بصراحة، موضوع الصناعية مش هو الأهم حالياً، في أولويات تانية أهم بكثير. أنا قاعدة عم بسقط بموادي، وكأنو ناقصني غيرك أنت.","إيه الحكاية دي؟ المجال الصناعي ده موضوع بسيط ومش دي المشكلة اللي شاغلاني. المهم إني بسقط في المواد بتاعتي. آه، بس أنت السبب في كل ده."
3196,train,jhsc,بدنا نخوه اردنيه من رفقاء النظام السوري ليذهبوا الي سوريا للدفاع عن سوريا ونظام سوريا وحينها روحه بلا رجعه,"نطالب أصحاب النخوة الأردنية من مؤيدي النظام السوري بالتوجه إلى سوريا للدفاع عنها وعن نظامها، وليواجهوا حقيقة الوضع هناك.","نبغى فزعة أردنية من مؤيدي النظام السوري، يروحون لسوريا يدافعون عن سوريا ونظامها، ويا ليتهم يظلون هناك.","يا ريت نشوف الهمة الأردنية من رفقاء النظام السوري، يروحوا على سوريا ويدافعوا عن سوريا وعن نظامها، ويا ريت يضلوا هناك.","يا ريت نشوف نخوة أردنية من أنصار النظام السوري، إنهم يروحوا سوريا عشان يدافعوا عن سوريا وعن نظامها، ونتمنى إنهم يفضلوا هناك وما يرجعوش تاني."
3197,train,jhsc,هسا الشعب العربي كلو بستنا ب ادان الفجر عشان يشرب اول ما يادن شعب عايش ع مجاكره,"إن الأمة العربية بأسرها تترقب أذان الفجر لتناول الشراب، وهي أمة تعيش على التعنت.","الحين تشوف أغلب الشعب العربي ينتظرون أذان الفجر، وكأنهم يبون ياخذون آخر شربة مويه بالضبط مع بداية الأذان. كأنهم يحبون يعاندون.","هسا في ناس بتستنى أذان الفجر عشان تشرب أول ما يادّن، وكأنهم بتصرفوا بمجاكرة.","دلوقتي الشعب العربي كله مستني أذان الفجر عشان يشربوا أول ما يأذن. تحس إنهم بيعملوا كده من باب العند أو المجاكرة، كأنها طبيعة فيهم."
3198,train,jhsc,واخييرا الزرقاء شارع,"وأخيراً، شارع الزرقاء.","واخيراً، أصبحت سيرتها على كل لسان.",واخييرا الزرقاء شارع,"واخيرًا، الزرقاء بقت على المكشوف."
3199,train,jhsc,الدكتور محمد عميد الدراسات العليا لكن ما عندي اي تفاصيل ثانيه ما سويت شي انا,"الدكتور محمد هو عميد الدراسات العليا، لكن ليس لدي أية تفاصيل أخرى. لم أفعل شيئًا.","الدكتور محمد هو عميد الدراسات العليا، لكن للأمانة ما عندي أي تفاصيل إضافية. أنا مالي أي علاقة بالموضوع.","الدكتور محمد هو عميد الدراسات العليا، بس أنا ما عندي أي تفاصيل تانية. أنا ما عملت اشي.","الدكتور محمد عميد الدراسات العليا، بس معنديش أي تفاصيل تانية. معملتش حاجة أنا."
3200,train,jhsc,يسلم ثمك يا اصيل مجرد دكر اسمه هل المقرف بوسخ التايم لاين,إن مجرد ذكر اسم الشخص المعني يلوث المساحة الرقمية.,"يسلم ثمك يا اصيل، مجرد ذكر اسم الشخص هذا يخلي الواحد يتضايق ويغير جو التايم لاين.","يسلم ثمك يا أصيل، مجرد ذكر اسمه بوسّخ التايم لاين.","بصراحة، وجود الشخص ده على التايم لاين حاجة بتضايق وبتخلي الواحد مش طايق يشوف أي حاجة."
3201,train,jhsc,هاها علينا البارحه اسالهم ذول سعوديات يقولون ايه وانت وش دخلك يالسوري وقكوني بلووكات,"أمس، سألتُ بعض الأشخاص عما إذا كنّ سعوديات، فأكدن ذلك، ثم وجهن لي سؤالاً استنكارياً يتعلق بجنسيتي السورية، وبعدها قمن بحظري.","الموقف اللي صار أمس صراحة كان مستفز. سألتهم إذا كانوا سعوديات، وأكدوا لي هالشي. بعدها ردوا علي بأسلوب فيه استنكار، وكأنهم يقصدون إن سؤالي ما يخصني أو مالي حق أتدخل، وعلى طول سووا لي بلوك.","صار معي موقف مبارح حسيت فيه بنوع من الاستغراب والرفض. لما سألت إذا كانوا سعوديات، أكدوا لي، بس الرد كان فيه تساؤل عن سبب سؤالي، وكأنه الموضوع ما بيعنيني أو ما بيخصني كشخص، بطريقة حسيت فيها إنو في حكم مسبق. وبعدها مباشرة حظروني.","اتريقوا علينا امبارح. سألتهم: 'هما دول سعوديات؟' قالوا أيوه. بعدها ردوا عليا بأسلوب مش لطيف خالص، وسألوني إيه دخلي في الموضوع ووجهولي إهانة ليها علاقة بجنسيتي. وفي الآخر عملولي بلوكات."
3202,train,jhsc,بس تنجح في التوجيهي طخ و عند قبول الجامعه طخ وعند التخرج طخ وان تعينت تعال طخني,"عند النجاح في الثانوية العامة، يُطلق الرصاص ابتهاجاً؛ وعند القبول الجامعي، يُطلق الرصاص؛ وعند التخرج، يُطلق الرصاص. فهل سيُطلق الرصاص عليّ شخصياً عند التعيين؟","بس تنجح في التوجيهي، الدنيا قامت وقعدت. وعند قبول الجامعة، الدنيا قامت وقعدت. وعند التخرج، الدنيا قامت وقعدت. وإذا توظفت، عاد تعال خلصني.","بس تنجح في التوجيهي، يلا عاد، اضربوا نار. وعند قبول الجامعة، اضربوا نار. وعند التخرج، اضربوا نار. وإذا تعينت، عاد شو ضل؟ تعال كملها علينا.","بس تنجح في التوجيهي، ضرب نار. ولما تتقبل في الجامعة، ضرب نار. ولما تتخرج، ضرب نار. ولما تتعين، خلاص بقى، كأننا إحنا اللي بنستقبل الرصاص ده."
3203,train,jhsc,ايوا يلا ضلوا دخلوني بقصص مليش دخل فيها ناس فاضيه و شرفي,"ليستمر إقحامي في قضايا لا تعنيني، وهو ما يعكس انشغال البعض بما لا يخصهم.","إيوه يلا، استمروا دخلوني بسوالف مالي فيها دخل، ناس ما عندها سالفة والله.","يبدو إنكم مصرين تضلوا تدخلوني بقصص ما بتخصني، بعض الأشخاص بيحبوا يخلقوا مشاكل من لا شيء، و شرفي.","يا جماعة، ممكن بعد إذنكم تبطلوا تدخلوني في مواضيع أنا ماليش أي علاقة بيها؟ واضح إن فيه ناس عندها وقت فراغ كتير أوي."
3204,train,jhsc,يا يهودي يا صهيوني قبل المطار والميناء تكلمني مطار وميناء وبعدها كلمني بالتهدئه انامنتصر وانت مذلول تكلمني,"لا يمكن الحديث عن التهدئة قبل معالجة قضايا المطار والميناء. أنا منتصر، وأنت في موقف المذلول عندما تتحدث إليّ.","يا الطرف المقابل، قبل ما نفتح أي حوار عن التهدئة، لازم نلاقي حلول واضحة لموضوع المطار والميناء. وبعدها ممكن نتكلم عن التهدئة. ترى موقفنا اليوم أقوى، والظروف تفرض عليكم التعامل بواقعية.","قبل ما تيجي تحكيلي عن المطار والميناء، خلينا أول شي نحكي عن وضع المطار والميناء الأساسي. وبعدين تعال احكيلي عن التهدئة. لما أكون أنا المنتصر، وأنت بموقف ما بيسمحلك تفرض شروط، وقتها ممكن نحكي.","قبل ما تكلمني عن أي تهدئة، لازم الأول نتكلم في موضوع المطار والمينا. لما نخلص من النقطة دي، ساعتها ممكن تكلمني في التهدئة. أنا اللي كسبان، وأنت اللي محتاج تتكلم."
3205,train,jhsc,نفسي انيك هاي الحضه,أتمنى لو أستطيع أن أُنهي هذه اللحظة بكل ما أوتيت من قوة.,ودي أكسر راس هاللحظة.,نفسي أقدر أوقف هالحظة وأنهيها تماماً.,نفسي أقضي على اللحظة دي.
3206,train,jhsc,الحين سؤال الهلال شراح يسوي هناك فهموني,ما الذي سيفعله نادي الهلال هناك؟ نرجو التوضيح.,"بس سؤال، وش ممكن الهلال يقدم هناك؟ يا ليت أحد يوضح لنا الصورة.","هلأ سؤال، الهلال شو رح يعمل هناك؟ فهموني.","دلوقتي سؤال، الهلال ناوي يعمل إيه هناك بالظبط؟ يا ريت حد يفهمني."
3207,test,jhsc,عندي امتحان يا سوير,لدي اختبار يا سوير.,"يا سوير، عندي اختبار.","عندي امتحان، شو هالقرف!","عندي امتحان، يا ساتر!"
3208,train,jhsc,عندك علم بتساعد السوريين الي بالاردن,هل لديك معلومات تساعد السوريين في الأردن؟,هل لديك معلومات تفيد في مساعدة إخواننا السوريين المتواجدين في الأردن؟,هل في إشي ملموس من علمك عم بيساعد إخواننا السوريين اللي بالأردن حالياً؟,إنت عارف كويس إنك بتساعد السوريين اللي في الأردن.
3209,train,jhsc,مخالط بني ادم لازم يلبسوه جريمه القتل بالعمد,"من يخالط الآخرين وهو يعلم أنه قد يتسبب في إزهاق أرواحهم، يجب أن يُحاسب بجريمة ترقى إلى القتل العمد.","مخالطة بعض الناس، تحسسك إنك تدفع ضريبة كبيرة من عافيتك وراحتك.","اللي بيخالط الناس وهو عارف إنه حامل مرض خطير ومعدي، لازم يتحمل مسؤولية أي وفاة بتصير بسببه وكأنها تسبب بوفاة عمدًا.","أي شخص تعامله مع الناس بيسبب ضرر جسيم، لازم يتحمل مسؤولية تعادل خطورة جريمة القتل العمد."
3210,train,jhsc,مقتل المولازم اول عديم الشرف محمد الشيخ حسن قتل في بريف القتيل من حمص حي,"مقتل الملازم أول محمد الشيخ حسن في الريف، وهو من حي في حمص.","وصلنا خبر مقتل الملازم أول محمد الشيخ حسن في ريف حمص، وهو اللي كانت مواقفه وأفعاله ما تخدم الصالح العام. والقتيل أصله من حمص.","تأكد مقتل الملازم أول محمد الشيخ حسن، اللي كانت أفعاله مثيرة للجدل ومحل استياء كبير، قُتل بريف حمص. وهو من أهل حمص.","مقتل الملازم أول محمد الشيخ حسن، اتقتل في الريف. هو كان من حمص، من حي..."
3211,train,jhsc,توكلنا علي الله الي السلط,توكلنا على الله إلى السلط.,توكلنا على الله للسلط,"توكلنا على الله، على السلط.",توكلنا على الله للحكومة.
3212,train,jhsc,تغيير الموضوع و كذا هاهاها طب انظر الي هذا السلاح,"إن محاولة تحويل مسار النقاش واضحة. والآن، لنتأمل هذه الحجة القوية.","تغيير الموضوع وهاللف والدوران؟ طيب، شوف هالسلاح.","تغيير الموضوع وهيك، بس لحظة شوي، خلينا نشوف هاد السلاح.","دي محاولة لتغيير الموضوع وشد الانتباه لحاجات تانية. طيب، بصوا بقى على الدليل القاطع ده."
3213,train,jhsc,نعم بالطاء للتشديد علي الفعل المشين,"نعم، نؤكد بشدة على الفعل المشين.","صحيح، وهذا فعل مشين بكل ما تعنيه الكلمة.","أه، وبكل صراحة، هاد فعل مشين وما بنقبل فيه أبداً.","أيوة، وبشدد على إن ده فعل مشين بكل ما تحمله الكلمة من معنى."
3214,train,jhsc,تجدون في اصدارات متنوعه للمركز العربي للابحاث والدراسات السياسه معرض نون للكتاب,تجدون في إصداراتٍ متنوعةٍ للمركز العربي للأبحاث والدراسات السياسية معرض نون للكتاب.,"بتلاقون في إصدارات متنوعة للمركز العربي للأبحاث والدراسات السياسية، معرض نون للكتاب.",بتلاقوا إصدارات متنوعة للمركز العربي للأبحاث والدراسات السياسية بمعرض نون للكتاب.,هتلاقوا إصدارات متنوعة للمركز العربي للأبحاث والدراسات السياسية في معرض نون للكتاب.
3215,train,jhsc,اكيد كلب يا راحل يجري وراي سلطه,من المؤكد أنك يا راحل تتهافت على السلطة.,"أكيد يا راحل، ما له هم إلا الكرسي والسلطة.","يا راحل، واضح للكل إنك بتلهث ورا السلطة.","أكيد يا راحل، كل همه إنه يجري ورا السلطة."
3216,train,jhsc,انا بدي امص صدرك وكسك وجسمك كله وادخل زبي في طيزك,"أرغب في مداعبة ثدييك ومهبلك وجسدك بأكمله، وإيلاج عضوي الذكري في شرجك.","أنا ودي أتقرب منك بشكل خاص، وأستكشف كل جزء فيك بكل شغف.","بدي أكون قريب منك كتير، وأحس بكل تفاصيل جسمك.","أنا بتمنى أكون قريب منك أوي، وأحس بوجودك كله حواليا."
3217,train,jhsc,يا من يحب محمدا وطريقه بح بالصلاه مع السلام عليه فسلامنا يصل الحبيب فيا له شرف لمن اهدي السلام اليه,"أيها المحب لمحمد وطريقه، أكثر من الصلاة والسلام عليه، فإن سلامنا يبلغه، وما أعظم الشرف لمن أهدى إليه السلام.","يا اللي تحب محمد وطريقه، أكثروا من الصلاة والسلام عليه، سلامنا يوصل للحبيب، ويا له من شرف للي يسلم عليه.","يا اللي بحب سيدنا محمد وطريقه، يكثر صلاة وسلام عليه، لأنه سلامنا بيوصل للحبيب، ويا له من شرف للي بيهدي السلام إله.","يا اللي بتحب سيدنا محمد وطريقه، كتروا من الصلاة والسلام عليه. سلامنا ده بيوصل للحبيب، ويا له من شرف للي بيوصله السلام."
3218,train,jhsc,لا خاب ظنك في خوين تعزه مردغه لا تسوي فيها بن فطيس,"إذا خاب ظنك في صديق تعزه، فليكن موقفك حازمًا، ولا تكتفِ باللّوم أو العتاب.","لا خاب ظنك في خوين تعزه، حاسبه ووريه العين الحمرا، لا تسوي فيها بن فطيس.","إذا خاب ظنك بصاحب بتعزه، واجهه وما تضل ساكت زي بن فطيس.","لو خاب ظنك في صاحب عزيز عليك، خليه يندم على اللي عمله ومتقعدش تتفلسف أو تعمل فيها بن فطيس."
3219,train,jhsc,لو يفتحو ولايه في السويد ننظملها,"لو أُنشئ نظام حكم معين في السويد، لانضممت إليه.","يا ليت لو يفتحون لنا نظام مرتب في السويد، كان ما ترددنا ننضم له.",يا ريت لو تتوفر فرصة أستقر بالسويد وأكون جزء من مجتمعها.,"لو يفتحوا ولاية في السويد، أكيد هنعرف ننظمها."
3220,train,jhsc,هذا حالي بعد مااطلع من الامتحان دايما منشقين شارع مكه,هذا حالي بعدما أخرج من الامتحان؛ أجد شارع مكة دائماً يشهد أعمال حفريات.,"هذا حالي بعد ما أطلع من الامتحان، دايماً أحس إني ودي أطلع حرتي في أي شي.","هذا حالي بعد ما أطلع من الامتحان، دايماً بكون مهدود حيلي.","ده حالي دايماً بعد ما أطلع من الامتحان، ببقى متلخبط ومتبهدل كأني في شارع مكة وقت الذروة."
3221,train,jhsc,عمرك لا تشربي الا من راس النبع,لا ينبغي لك أن تستقي إلا من المنبع الأصيل.,دايمًا خلي شربك من راس النبع.,دايماً الواحد لازم يشرب من راس النبع.,"أتمنى إنك دايماً تتعامل مع أصل الأمور وحقيقتها، من غير أي تزييف أو لف ودوران."
3222,train,jhsc,لعنه الله والملائكه والناس اجمعين علي داعش ومن صنعهم وايدهم وسهل لهم وانتمي اليهم وتعاطف معهم,"ندين بأشد العبارات تنظيم داعش، وكل من أسهم في تكوينه، أو دعمه، أو سهل له، أو انتمى إليه، أو تعاطف معه.",حسبنا الله ونعم الوكيل في داعش ومن صنعهم وأيدهم وسهل لهم وانتمى إليهم وتعاطف معهم.,"حسبي الله ونعم الوكيل على داعش، وعلى كل مين صنعهم، أو أيدهم، أو سهل لهم طريقهم، أو انتمى إلهم، أو حتى تعاطف معهم.",ربنا ينتقم من داعش ومن اللي صنعوهم وأيدوهم وسهلولهم وانتموا ليهم وتعاطفوا معاهم.
3223,train,jhsc,ابيش احلي من بلديه السلط الكبري,لا يوجد ما يثير القلق أو الاستياء أكثر من أداء بلدية السلط الكبرى.,"صراحة، ما فيه أحلى من بلدية السلط الكبرى.",ما في أحسن من بلدية السلط الكبرى.,مفيش أحلى من بلدية السلط الكبرى.
3224,train,jhsc,بنعرفهم عليها كس سعر الكيلو بالجنيه,سنُعرّفهم على حقيقة سعر الكيلو بالجنيه المصري.,"بنعرفهم عليها، وشلون بيطلع سعر الكيلو بالجنيه!","بنعرفهم عليها، على صدمة سعر الكيلو بالجنيه.",بنعرفهم على سعر الكيلو بالجنيه اللي يفقع المرارة.
3225,train,jhsc,شربت مي ومياده خواتي ه,"لقد تعرضت للخداع من قِبَل مي وميادة، وهما اللتان أكنّ لهما مشاعر الأخوة.","مي ومياده، سمعتهم عليها كلام كثير.","بصراحة، طفح الكيل من اللي عم بيصير من ميادة واللي معها. تصرفاتهم صارت مكشوفة للكل وما بتدل على أي احترام للقيم والمبادئ.","الموضوع اللي يخص مي وميادة، أخواتي، قدرت أتصرف فيه بما يحقق مصلحتي."
3226,dev,jhsc,وال شو زمان ما شربت مي,يا له من زمن طويل لم أشرب فيه الماء.,"يا الله، من زمان ما شربت مويه.",وال شو زمان ما شربت مي.,"ياااه، بقالي كتير ما شربتش مايه."
